Sequence,Question,Response,Query (SQL),Query Generation Time (s),Database Fetch Time (s),Response Generation Time (s),Total Time (s),Error,query,query_generation_time,database_fetch_time,error
1.0,บริษัท ADVANC มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท ADVANC มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 29,663,567,000 บาท",SELECT total_assets FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'ADVANC') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,1.985688,0.00378776,28.530139,30.519615,,,,,
2.0,บริษัท AOT มีหนี้สินรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,บริษัท AOT มีหนี้สินรวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 37643003.03 บาท,SELECT total_liabilities FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'AOT') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,33.584554,0.00299788,55.820327,89.407879,,,,,
3.0,กำไรสุทธิของบริษัท BBL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"กำไรสุทธิของบริษัท BBL ในไตรมาสที่ 1 ปี 2019 คือ 9,028,296,000 บาท",SELECT net_profit_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'BBL') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,34.980523,0.00198936,53.077989,88.060501,,,,,
4.0,อัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ของบริษัท BCP ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ของบริษัท BCP ในไตรมาสที่ 1 ปี 2019 คือ 33.60%,SELECT value FROM financialratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'BCP') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1) AND type = 'ROE';,34.69819,0.00299096,53.921425,88.622606,,,,,
5.0,สัดส่วนหนี้สินต่อทุน (D/E) ของบริษัท BDMS ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,สัดส่วนหนี้สินต่อทุน (D/E) ของบริษัท BDMS ในไตรมาสที่ 1 ปี 2019 คือ 0.69 (จากผลลัพธ์ที่ได้จากการคำนวณค่า total_liabilities หารด้วย shareholder_equity ซึ่งคือ 54230301.00 หารด้วย 78242520.00),SELECT value FROM financialratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'BDMS') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1) AND type = 'DE';,33.489377,0.00250006,55.480683,88.972559,,,,,
6.0,รายได้รวมของบริษัท BEM ในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"รายได้รวมของบริษัท BEM ในไตรมาสที่ 1 ปี 2019 เท่ากับ 4,078,247 บาท",SELECT total_revenue_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'BEM') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,34.726328,0.00394726,51.804099,86.534374,,,,,
7.0,กำไรสุทธิของบริษัท BGRIM ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"กำไรสุทธิของบริษัท BGRIM ในไตรมาสที่ 1 ปี 2019 คือ 532,405,000 บาท",SELECT net_profit_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'BGRIM') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,34.495926,0.00200009,51.518393,86.01632,,,,,
8.0,อัตรากำไรสุทธิ (Net Profit Margin) ของบริษัท BH ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตรากำไรสุทธิ (Net Profit Margin) ของบริษัท BH ในไตรมาสที่ 1 ปี 2019 คือ 33.63%,SELECT value FROM financialratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'BH') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1) AND type = 'netProfitMarginQuarter';,36.345119,0.00199747,51.918621,88.265738,,,,,
9.0,บริษัท BJC มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"รายได้รวมของบริษัท BJC ในไตรมาสที่ 1 ปี 2019 เท่ากับ 42,318 ล้านบาท",SELECT total_revenue_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'BJC') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,33.681194,0.00201678,51.662965,85.346176,,,,,
10.0,ค่าใช้จ่ายรวมของบริษัท BTS ในไตรมาสที่ 1 ปี 2019 เท่าไหร่,ค่าใช้จ่ายรวมของบริษัท BTS ในไตรมาสที่ 1 ปี 2019 เท่ากับ 35.39 บาทต่อหุ้น (จากข้อมูลรายได้รวมไตรมาสที่ 1 ปี 2019 ของบริษัท BTS),SELECT total_expenses_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'BTS') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,34.582848,0.00100017,52.735053,87.318901,,,,,
